run max_rpm damping_rate_full_throttle damping_rate_zero_throttle_clutch_engaged damping_rate_zero_throttle_clutch_disengaged gear_switch_time clutch_strength mass drag_coefficient tire_friction damping_rate radius max_brake_torque min_maximum_change min_distance_velocity min_change_para
4 5391.163 0.147 1.764 0.349 0.517 9.950 1394.278 0.305 1.991 0.245 34.294 1510.997 0.118 2.723 4
4 5479.302 0.151 1.770 0.347 0.518 9.950 1478.984 0.307 2.067 0.245 35.598 1510.089 0.123 -18.691 4
4 5391.163 0.151 1.864 0.349 0.517 9.948 1436.743 0.288 1.991 0.245 34.294 1499.422 0.082 3.355 4
4 5174.128 0.151 1.866 0.330 0.523 9.859 1441.410 0.308 1.990 0.250 34.067 1377.988 0.081 3.3 6
4 6075.980 0.151 1.930 0.348 0.517 9.932 1398.582 0.315 1.983 0.249 31.782 1506.244 0.215 5.759 2
5 5415.890 0.157 1.211 0.365 0.500 9.977 1351.483 0.314 2.013 0.255 35.334 1505.229 0.394 -19.653 3
5 6396.823 0.105 1.313 0.354 0.500 10.034 1343.673 0.343 1.648 0.252 35.445 1502.202 0.344 -21.333 6
5 5430.190 0.144 1.817 0.329 0.501 10.207 1436.446 0.311 1.809 0.253 34.644 1372.337 0.096 2.03 8
5 5312.726 0.157 1.946 0.349 0.500 10.005 1340.906 0.321 1.973 0.256 34.322 1505.035 0.083 4.881 2
5 6252.693 0.150 1.943 0.356 0.510 9.881 1345.934 0.313 2.015 0.254 35.468 1499.487 0.251 3.761 2
5 6231.624 0.153 1.222 0.365 0.503 9.885 1345.995 0.315 2.013 0.253 35.334 1510.142 0.389 -11.151 3
5 5348.623 0.157 1.736 0.365 0.479 9.886 1428.569 0.300 2.013 0.253 35.446 1354.008 0.132 -18.783 5
5 6396.823 0.105 1.314 0.365 0.500 9.959 1343.673 0.343 1.648 0.252 35.444 1235.181 0.343 -21.327 7
5 6245.512 0.157 1.375 0.349 0.500 10.005 1346.012 0.325 2.015 0.254 35.199 1512.423 0.312 -20.358 5
5 5444.924 0.157 1.817 0.326 0.542 9.982 1469.553 0.315 1.803 0.249 35.170 1354.156 0.109 -2.839 8
5 5431.578 0.150 1.943 0.349 0.500 9.881 1345.997 0.321 2.030 0.255 34.312 1461.818 0.086 4.581 3
5 6265.963 0.153 1.222 0.365 0.500 9.885 1345.995 0.300 2.013 0.253 35.444 1352.531 0.389 -21.013 4
5 5405.903 0.144 1.821 0.328 0.498 9.988 1421.344 0.321 2.064 0.256 34.609 1372.337 0.092 2.503 6
5 5429.882 0.144 1.820 0.328 0.498 10.289 1422.250 0.321 2.063 0.256 34.609 1372.337 0.092 2.459 7
5 5446.610 0.157 1.817 0.347 0.466 9.983 1346.105 0.314 1.974 0.254 34.625 1502.119 0.092 3.297 4
5 5430.190 0.147 1.817 0.347 0.497 9.983 1436.190 0.311 1.971 0.253 34.658 1372.337 0.093 2.276 5
5 6013.444 0.156 1.614 0.349 0.502 9.884 1352.101 0.294 2.013 0.254 35.338 1500.698 0.203 -4.622 3
5 6277.112 0.157 1.445 0.350 0.510 9.938 1346.203 0.315 2.035 0.251 35.525 1500.208 0.277 -8.149 3
5 6246.204 0.157 1.391 0.349 0.500 10.007 1346.006 0.314 2.057 0.249 35.425 1503.359 0.304 -9.083 3
5 6195.881 0.157 1.365 0.349 0.500 10.009 1350.711 0.294 2.063 0.254 35.424 1500.911 0.318 -9.511 3
5 6161.110 0.153 1.543 0.365 0.502 9.939 1346.006 0.302 2.013 0.253 35.467 1505.106 0.232 -6.2 3
5 5359.000 0.150 1.767 0.350 0.498 9.959 1350.673 0.315 2.006 0.254 35.315 1327.945 0.117 -0.412 4
5 6376.434 0.157 1.235 0.350 0.500 9.962 1350.414 0.315 1.973 0.254 35.445 1506.339 0.382 -10.856 3
